"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 0-14, male","SP.POP.0014.MA.IN","11878","12118","12315","12459","12536","12544","12495","12343","12110","11867","11602","11305","11030","10792","10547","10303","10009","9694","9451","9273","9156","9127","9124","9108","9089","9015","8872","8687","8528","8539","8867","9537","9998","10083","10144","10127","10089","10116","10207","10349","10461","10476","10429","10350","10240","10210","10304","10425","10540","10635","10602","10437","10280","10164","10079","10012","9947","9869","9772","9651","9438","9133","8820","8520",
"Africa Eastern and Southern","AFE","Population ages 0-14, male","SP.POP.0014.MA.IN","29000609","29840049","30726896","31656794","32631560","33653526","34707700","35794075","36922664","38087316","39293716","40535803","41795779","43080368","44404103","45761644","47167649","48557329","49999676","51555018","53098922","54721855","56434395","58083308","59700608","61401204","63216358","65153083","67089487","69038152","71085952","73116186","75085284","77135711","79039458","80893959","82967954","84978312","86841320","88688889","90586106","92500831","94475950","96541339","98711107","101001079","103421550","105974204","108644367","111373514","114143002","116932506","119789688","122754714","125732575","128741030","131768945","134770642","137762300","140752615","143746786","146696711","149591861","152423111",
"Afghanistan","AFG","Population ages 0-14, male","SP.POP.0014.MA.IN","1804235","1843100","1885912","1934221","1987528","2046000","2108544","2173321","2240688","2310296","2382629","2455858","2530965","2610297","2691376","2771012","2846081","2920100","2992258","3017524","2914935","2615829","2375980","2352492","2430320","2503414","2497014","2474639","2496483","2573329","2586901","2609202","2939728","3428000","3801453","4060288","4254773","4450669","4654178","4874579","4968153","5022391","5367695","5792486","6022188","6204843","6418452","6598700","6760595","6926571","7080622","7241399","7412361","7581794","7756052","7924320","8081758","8240991","8402599","8567283","8740826","8912289","9076426","9256800",
"Africa Western and Central","AFW","Population ages 0-14, male","SP.POP.0014.MA.IN","20139881","20606591","21102105","21653628","22270609","22899054","23519489","24155576","24809556","25485904","26186708","26916319","27680164","28483617","29336498","30243316","31172557","32136956","33170249","34257096","35391379","36572378","37794931","38999262","40214013","41474061","42726160","43957794","45145219","46341289","47518720","48684301","49892430","51075245","52258636","53490341","54750127","56058071","57409616","58817188","60348667","62004369","63729602","65495466","67320402","69229256","71217369","73262928","75366753","77537668","79776143","82090374","84453932","86807386","89123484","91391862","93631683","95843713","98018393","100166234","102287362","104378347","106428049","108426217",
"Angola","AGO","Population ages 0-14, male","SP.POP.0014.MA.IN","1158772","1193539","1226593","1260617","1295716","1328306","1357080","1383788","1409416","1436322","1468010","1503538","1540686","1579966","1621129","1663732","1707519","1753401","1802417","1855139","1912334","1974627","2042574","2116033","2195247","2280655","2371615","2465092","2560044","2657422","2756327","2857675","2958820","3059610","3163642","3269455","3375996","3483549","3590524","3698455","3809575","3925440","4047422","4176946","4316064","4464683","4622622","4790673","4969284","5157796","5355913","5562284","5776791","5999145","6226799","6457184","6688858","6920899","7151982","7381433","7608702","7833539","8052910","8264619",
"Albania","ALB","Population ages 0-14, male","SP.POP.0014.MA.IN","342780","357772","372922","387720","401802","414667","426509","437995","449958","461577","470786","478501","485821","491567","496056","499908","502717","505154","506694","507768","509441","511322","514165","517339","520634","524067","527305","531375","535580","544783","549774","542088","534820","527781","520862","513882","506287","497541","487461","476169","463893","449302","436602","422981","408644","393304","377402","361172","345320","330432","316995","305438","295475","286777","278775","270950","264404","258326","251691","245027","238887","233398","228501","224245",
"Andorra","AND","Population ages 0-14, male","SP.POP.0014.MA.IN","1345","1489","1641","1794","1946","2091","2266","2502","2758","2988","3189","3371","3538","3688","3824","3945","4060","4166","4255","4316","4333","4301","4372","4541","4642","4656","4699","4797","4863","4902","4916","4937","4979","5029","5087","5150","5191","5207","5224","5238","5238","5367","5632","5887","6119","6302","6377","6353","6297","6205","6049","5987","6003","5959","5865","5700","5629","5557","5424","5360","5309","5282","5212","5074",
"Arab World","ARB","Population ages 0-14, male","SP.POP.0014.MA.IN","20757478","21407027","22066833","22751187","23454405","24179863","24930799","25701286","26475942","27258814","28060202","28883096","29732725","30608446","31514722","32561815","33801437","34990322","36041708","37187891","38408649","39553113","40694796","41877878","43064338","44234141","45426164","46604557","47652042","48651835","49948058","50669129","51513008","52435787","53309135","54009303","54614888","55147905","55630371","56094356","56565946","57037061","57519960","58018940","58554370","59162642","59792374","60460571","61313609","62310405","63398087","64586174","65906372","67439863","69015018","70490369","71830663","73067329","74301086","75485883","76556515","77490730","78288142","78950341",
"United Arab Emirates","ARE","Population ages 0-14, male","SP.POP.0014.MA.IN","29199","29906","30670","31520","32488","33594","34850","36244","40071","46264","51972","57003","61864","66911","72400","78440","86944","98442","111895","127643","145036","161454","176343","191289","206348","221241","239447","258516","273049","284375","293603","301635","309107","316252","322836","328553","342239","359622","369254","374380","377790","381719","387538","395599","405364","423233","456700","502291","550904","593042","628241","655351","669789","673573","670407","665344","663427","667825","679251","696098","716178","733912","744515","748898",
"Argentina","ARG","Population ages 0-14, male","SP.POP.0014.MA.IN","3205850","3245964","3286394","3326453","3365863","3404144","3440957","3477232","3513665","3552364","3595734","3643900","3696696","3758579","3832321","3912330","3996590","4084943","4175502","4267929","4360093","4450244","4537375","4621701","4702633","4778320","4848559","4913211","4971148","5021251","5065402","5104534","5138240","5168868","5199112","5228494","5254725","5278006","5300147","5323398","5346107","5364409","5378308","5388152","5395230","5400799","5404425","5406091","5404947","5403124","5364898","5382155","5404485","5429832","5454489","5478663","5503337","5522703","5530243","5526718","5514055","5494980","5472525","5444112",
