NAME,CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,3.967301626,3.883273162,3.825778595,3.756319255,3.685324658,3.642306138,3.630256273,3.642355712,3.664656742,3.687489736,3.712521342,3.743415944,3.777798059,3.821943686,3.884667567,3.954205153,4.018994581,4.088291394,4.17919841,4.286981173,4.389541594,4.48055791,4.56259996,4.640372711,4.72333377,4.81592531,4.908177979,4.990458226,5.0780249,5.185552101,5.295922015,5.397047374,5.514049225,5.661220753,5.816788792,5.980532271,6.146786052,6.315159279,6.512670364,6.72078989,6.920629217,7.121075184,7.317425377,7.502387745,7.666347191,7.825417455,7.996801589,8.158964215,8.303531862,8.450282029,8.61654916,8.816148032,9.049303432,9.320377287,9.633185443,10.02005367,10.45679874,10.94635566,11.48005332,12.02211581,12.59826196,13.14975327,13.72233545,14.26661153
India,IND,3.291464021,3.329064654,3.385369906,3.450237298,3.508184219,3.55053982,3.577399045,3.590134046,3.596909595,3.607890468,3.624713332,3.649822193,3.686205517,3.730871051,3.778778088,3.827192958,3.873631176,3.913166165,3.944332684,3.968269162,3.984675728,3.995323488,4.003416748,4.00990695,4.015224538,4.020972035,4.027811959,4.036383738,4.04747723,4.061814407,4.080536752,4.104088514,4.132031107,4.164176608,4.200377593,4.240553463,4.2848545,4.332566509,4.38349294,4.437660127,4.493683062,4.551883114,4.613991159,4.677712821,4.737673409,4.793042956,4.846329949,4.898343297,4.95067779,5.005686273,5.065987426,5.135396172,5.217438256,5.315839598,5.45741729,5.640294939,5.835516764,6.040795894,6.254069446,6.47202495,6.672320068,6.80246463,6.896442961,7.072109453
Japan,JPN,5.799269927,5.912461801,6.024575195,6.151432689,6.28863841,6.419842136,6.58850481,6.776360278,6.938408895,7.077092674,7.197698273,7.319658406,7.481323058,7.669650062,7.860290037,8.065660691,8.284509293,8.526135588,8.779879721,9.041566804,9.298720308,9.548345663,9.802460226,10.03802894,10.26499537,10.5413719,10.85517738,11.18385229,11.54111566,11.94187205,12.39966059,12.89817641,13.41227826,13.92312708,14.44034857,14.96316008,15.50878372,16.08128312,16.65705421,17.22375461,17.80488845,18.41939672,19.02458993,19.56877502,20.06106878,20.60441215,21.25729113,21.9407321,22.58175633,23.16588998,23.60053533,23.97777973,24.64745219,25.5814883,26.52698471,27.32820041,27.94592014,28.46399366,28.90165436,29.27981368,29.58317845,29.78708991,29.92456126,30.06763042
Russian Federation,RUS,6.077693846,6.202105143,6.281727083,6.361337214,6.482570724,6.657094218,6.849646117,7.04482622,7.272013612,7.49884926,7.704997755,7.936739232,8.196011097,8.435055731,8.698266158,8.97609848,9.24692962,9.537127127,9.82322561,10.06914689,10.19343157,10.1370641,9.975092995,9.869434564,9.793171208,9.641213301,9.510295087,9.454304704,9.497125333,9.680830741,9.957464578,10.3079348,10.75065049,11.21525029,11.60203582,11.89721204,12.11211216,12.27577223,12.35100664,12.31881398,12.34897741,12.49465362,12.7714294,13.13747367,13.50004161,13.79557974,13.97997075,13.92943394,13.58019858,13.1409184,12.79095159,12.69687726,12.82981923,13.01144261,13.28952157,13.61549995,13.90210927,14.21591061,14.54035404,14.90699887,15.30607018,15.59341999,15.79792928,16.16057952
United States,USA,9.230440038,9.310513924,9.375839888,9.451392069,9.518577547,9.553910567,9.578780747,9.653213776,9.714487348,9.73887438,9.803251502,9.879259418,9.975791566,10.11180248,10.26818884,10.44572785,10.65495436,10.86475881,11.03858887,11.17498567,11.27859033,11.38145084,11.48005621,11.54951307,11.66261842,11.81146245,11.91886902,11.99946375,12.15079249,12.27493997,12.28447619,12.32690698,12.39684551,12.42734838,12.48397854,12.54363352,12.55036764,12.51400269,12.46147274,12.39617073,12.31762964,12.29694532,12.28745779,12.2779343,12.30471923,12.36016288,12.42207195,12.5078037,12.6708585,12.85625857,13.0281785,13.27020312,13.58443693,13.89107568,14.13556338,14.3277541,14.6723115,15.0662904,15.39769758,15.79180083,16.22340015,16.67889549,17.12812055,17.58791953
