"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"American Samoa","ASM","Population ages 0-14, female","SP.POP.0014.FE.IN","4675","4792","4932","5085","5252","5430","5610","5789","5971","6152","6258","6268","6249","6231","6233","6282","6357","6408","6446","6481","6573","6752","6966","7189","7420","7665","7926","8207","8512","8849","9168","9430","9672","9918","10168","10419","10663","10894","11106","11308","11406","11342","11199","11020","10800","10544","10263","9970","9688","9448","9194","8903","8625","8348","8070","7789","7504","7215","6920","6617","6313","6012","5832","5758",
"Antigua and Barbuda","ATG","Population ages 0-14, female","SP.POP.0014.FE.IN","11212","11381","11544","11719","12028","12444","12842","13242","13635","14007","14114","13932","13672","13356","13004","12631","12270","11951","11652","11385","11127","10840","10553","10291","10012","9769","9615","9497","9422","9393","9405","9414","9453","9562","9701","9865","10058","10235","10364","10449","10529","10579","10552","10495","10427","10327","10236","10184","10157","10144","10070","9942","9800","9657","9529","9381","9212","9067","8928","8800","8711","8644","8568","8448",
"Australia","AUS","Population ages 0-14, female","SP.POP.0014.FE.IN","1514719","1545352","1576453","1598525","1622554","1645444","1673534","1683062","1700778","1727922","1755422","1807712","1829404","1839225","1862353","1857562","1845474","1835354","1826285","1816530","1812972","1819047","1828361","1828652","1822618","1814874","1805300","1799753","1804173","1816576","1830182","1843868","1857218","1866611","1876742","1888074","1898786","1905535","1910155","1916518","1923115","1930554","1933063","1934961","1935805","1940380","1949643","1970722","1996641","2024819","2044256","2063455","2095489","2130336","2160425","2190286","2223295","2255118","2280149","2301870","2313876","2296292","2301345","2330651",
"Austria","AUT","Population ages 0-14, female","SP.POP.0014.FE.IN","760134","777728","790893","802470","816766","831828","846824","861533","873892","883589","889086","890820","890419","886172","876843","862053","843169","822189","798735","774338","753927","739010","723734","706092","689942","676654","665912","657418","652713","652169","655047","663209","675105","684713","689606","690753","688772","683541","677425","671807","665947","659658","654599","650643","646560","642233","635650","627400","619215","611284","604742","599367","595267","593606","594989","601163","609798","616052","619675","622275","623956","625804","631381","637350",
"Azerbaijan","AZE","Population ages 0-14, female","SP.POP.0014.FE.IN","780397","843490","894975","940180","984756","1022485","1056292","1084426","1106740","1124630","1136972","1145477","1148977","1146748","1140275","1129584","1113854","1096634","1081597","1070648","1064560","1062636","1066548","1073876","1085745","1100966","1118800","1140690","1162482","1189271","1214082","1231813","1249937","1266602","1279770","1287762","1289229","1285515","1276551","1257672","1229053","1195503","1159867","1124485","1092883","1065919","1043213","1026295","1024692","1026700","1024057","1029388","1042116","1059706","1079539","1099762","1118347","1130599","1136063","1139316","1138771","1130599","1111076","1082722",
"Burundi","BDI","Population ages 0-14, female","SP.POP.0014.FE.IN","618127","633417","649553","665746","684396","701344","715391","730815","746943","763478","780645","798946","809797","818311","834584","853174","872545","893354","916211","940708","971106","1005373","1039316","1074716","1110584","1146363","1181594","1217642","1254144","1290647","1326703","1361141","1396103","1409835","1422925","1451843","1467040","1475422","1486719","1500821","1516833","1537267","1563345","1595463","1635175","1681797","1734665","1794056","1860364","1947400","2042537","2129254","2220944","2317542","2413291","2500122","2577556","2649718","2718487","2783359","2840305","2889924","2933617","2971563",
"Belgium","BEL","Population ages 0-14, female","SP.POP.0014.FE.IN","1060163","1068917","1073923","1083349","1096109","1108449","1117029","1122001","1122455","1119978","1114285","1108834","1103642","1093956","1080402","1064650","1047050","1028654","1009987","990569","972825","956954","942961","930576","918340","905693","893583","883740","879030","878395","880364","884533","888665","891315","891091","888360","885369","883556","882254","881626","881902","882659","882761","881506","879916","879188","879373","880852","884952","891892","901528","914578","920838","925861","930289","935110","938771","941552","944695","946861","946512","944459","943740","943737",
"Benin","BEN","Population ages 0-14, female","SP.POP.0014.FE.IN","489296","499288","510890","524331","540588","557668","574141","591084","608439","626237","644412","663042","682153","701606","721365","741543","762087","783127","804825","827599","852047","878183","905657","934024","963313","993641","1024941","1057293","1090708","1124827","1159804","1195955","1232939","1275367","1318869","1357521","1395599","1434539","1474565","1515379","1556541","1598127","1640705","1685171","1731799","1780704","1830705","1881008","1931897","1981289","2031329","2084906","2140971","2199534","2261115","2325562","2392337","2460682","2528900","2596370","2663435","2729530","2794824","2859622",
"Burkina Faso","BFA","Population ages 0-14, female","SP.POP.0014.FE.IN","947195","962522","979706","1000734","1025253","1050729","1076458","1102596","1129288","1156225","1183242","1210390","1237863","1266230","1296117","1328108","1362560","1400193","1441623","1486421","1533776","1583140","1634503","1688028","1744340","1803921","1865594","1928051","1990524","2052546","2114407","2175979","2236618","2295832","2354355","2413536","2473878","2535110","2597949","2662744","2729022","2797225","2867802","2942868","3023661","3110153","3203138","3301658","3404723","3511678","3621508","3734031","3849198","3965815","4082316","4197143","4308354","4414495","4515800","4613367","4707054","4795471","4878404","4957168",
"Bangladesh","BGD","Population ages 0-14, female","SP.POP.0014.FE.IN","10473606","10843260","11243833","11672538","12127630","12581882","13029682","13491545","13960686","14429866","14842047","15106516","15414676","15851065","16268422","16627358","16935021","17269982","17645751","18047856","18496070","18995031","19519719","20035677","20519060","20958745","21337893","21653468","21936633","22214618","22488317","22684336","22833507","22992362","23137819","23255163","23328656","23397583","23484664","23580377","23682961","23825380","23997099","24162099","24304997","24407177","24470708","24512022","24519945","24475993","24393047","24273231","24102706","23900753","23683431","23439504","23184941","22919232","22645305","22388230","22162169","21968231","21790123","21632597",
