"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Population ages 15-64, male","SP.POP.1564.MA.IN","504822","513741","526066","541438","558522","576942","596817","617765","639838","663036","687134","711430","736651","763951","793251","824185","855530","886456","916949","944274","964464","979617","993140","1005380","1015997","1025362","1033935","1041496","1046126","1075171","1110328","1124442","1097260","1042598","1004486","982458","973602","965014","957925","952956","948431","943958","940469","938570","938208","939265","941586","945080","948299","949119","946934","941988","935240","927052","917695","906853","894562","881678","868875","856299","845681","835611","827146","822557",
"American Samoa","ASM","Population ages 15-64, male","SP.POP.1564.MA.IN","4912","5117","5348","5568","5776","5973","6170","6375","6586","6806","7019","7197","7348","7491","7645","7855","8111","8372","8635","8900","9229","9654","10114","10583","11059","11543","12029","12520","13014","13515","13944","14270","14571","14869","15172","15468","15761","16060","16360","16649","16838","16899","16909","16900","16889","16895","16916","16936","16935","16888","16842","16798","16699","16550","16368","16168","15951","15718","15471","15199","14901","14570","14298","14109",
"Antigua and Barbuda","ATG","Population ages 15-64, male","SP.POP.1564.MA.IN","14429","14661","14809","14936","14971","14947","14950","14970","15023","15126","15332","15559","15696","15794","15904","16057","16254","16483","16732","16982","17227","17465","17692","17914","18136","18293","18379","18451","18508","18548","18595","18860","19315","19733","20135","20552","20973","21396","21830","22268","22694","23112","23542","23982","24447","24959","25498","26062","26644","27220","27795","28373","28928","29423","29840","30224","30557","30821","31070","31298","31494","31666","31821","31985",
"Australia","AUS","Population ages 15-64, male","SP.POP.1564.MA.IN","3223394","3289207","3374695","3445681","3521093","3599927","3692650","3750820","3830302","3920972","4004680","4147491","4231687","4308014","4432827","4503304","4566586","4637528","4709238","4775087","4845243","4933754","5035960","5124006","5205898","5297169","5395150","5493336","5592954","5692616","5774428","5837702","5891014","5932717","5981929","6044143","6114661","6178726","6239834","6310001","6384632","6470646","6552615","6637283","6716457","6806547","6906764","7042435","7193792","7344315","7445224","7522696","7620269","7713367","7788166","7858903","7943558","8044886","8142601","8246298","8333425","8330417","8424836","8614441",
"Austria","AUT","Population ages 15-64, male","SP.POP.1564.MA.IN","2156097","2153226","2157467","2165600","2170326","2174204","2180112","2187116","2188284","2186702","2190452","2202190","2223811","2249929","2263676","2264455","2275175","2296583","2315966","2333946","2359410","2397623","2433293","2462632","2490813","2510769","2525269","2535675","2545050","2562698","2589877","2621148","2650971","2670876","2677169","2676646","2677796","2681214","2686687","2696525","2709571","2728752","2751342","2770945","2785051","2793737","2798695","2803279","2810541","2816043","2824669","2837776","2848931","2861632","2882558","2919797","2953805","2968067","2974561","2979922","2983986","2985705","2999027","3012171",
"Azerbaijan","AZE","Population ages 15-64, male","SP.POP.1564.MA.IN","966331","976832","986032","1002612","1028940","1057596","1089412","1122382","1157551","1196277","1237696","1283719","1333454","1386061","1441866","1499636","1562022","1627899","1692058","1746664","1791852","1837223","1878727","1917613","1954668","1986150","2013881","2038915","2061358","2079300","2096036","2117362","2142567","2169749","2198826","2228921","2260282","2294490","2331550","2373468","2422099","2474137","2527212","2581441","2641773","2708693","2777233","2845957","2942252","3033265","3089494","3141979","3186775","3223911","3255755","3283749","3309187","3334099","3360310","3387738","3412242","3432514","3442174","3442504",
"Burundi","BDI","Population ages 15-64, male","SP.POP.1564.MA.IN","677798","695102","712552","724791","746485","770036","792248","816210","837944","856425","875010","897822","885120","872225","898969","923831","944273","970537","1002323","1025706","1080912","1133527","1154196","1179648","1200488","1216531","1227321","1248383","1267886","1281654","1300440","1321424","1360258","1255861","1258654","1399877","1384623","1373669","1417234","1474258","1520535","1576825","1640025","1711604","1799131","1884178","1963413","2044512","2141436","2265029","2373801","2448074","2522426","2598638","2671576","2696492","2701602","2749271","2841952","2959583","3068076","3177629","3296966","3427003",
"Belgium","BEL","Population ages 15-64, male","SP.POP.1564.MA.IN","2911131","2910938","2916559","2933450","2955026","2974580","2987757","2999338","3010874","3021666","3027320","3036858","3055001","3074570","3098383","3123802","3147700","3168846","3187819","3207919","3230977","3254785","3280645","3307380","3327651","3337267","3341183","3344624","3351729","3357223","3357649","3359057","3362769","3367925","3372367","3373362","3373422","3375430","3377480","3381175","3385882","3395388","3409987","3424384","3439562","3461489","3492118","3525646","3555125","3579509","3606250","3643034","3652439","3658103","3662923","3674753","3685975","3691898","3699996","3712095","3723681","3735018","3759262","3794121",
"Benin","BEN","Population ages 15-64, male","SP.POP.1564.MA.IN","654488","662193","669689","676506","681619","688738","699291","710315","721937","734259","747339","761203","776002","791837","808767","826943","846699","868052","890757","914747","940006","966543","994229","1023010","1052843","1083896","1116457","1150537","1186086","1223354","1262394","1303028","1345291","1422973","1484487","1505153","1543300","1593286","1648877","1707026","1767282","1829503","1893845","1960259","2028444","2102166","2174367","2244448","2320262","2400925","2484502","2568376","2653862","2741125","2832202","2925108","3018232","3114065","3213316","3316003","3420821","3527563","3635885","3745744",
"Burkina Faso","BFA","Population ages 15-64, male","SP.POP.1564.MA.IN","1403329","1417871","1431196","1440400","1446485","1453837","1462361","1471845","1482609","1494077","1506524","1518550","1530654","1544422","1560852","1580335","1603072","1631076","1662899","1696819","1733933","1773071","1813927","1858767","1906568","1954602","2000545","2044561","2089465","2136521","2186161","2233915","2282125","2336750","2397837","2464267","2532203","2603767","2690337","2791477","2899670","3015148","3136662","3261630","3389244","3517704","3642601","3759181","3867774","3976390","4088843","4208243","4339378","4477145","4622481","4777370","4940555","5109904","5280349","5453886","5638841","5834625","6032300","6234579",
"Bangladesh","BGD","Population ages 15-64, male","SP.POP.1564.MA.IN","14540662","14904037","15277706","15642997","15999213","16376457","16776898","17195415","17630436","18054702","18451117","18475049","18510290","18931464","19375751","19827014","20257103","20694393","21152948","21605789","22087151","22642334","23282781","23989605","24727079","25468800","26207706","26961847","27742570","28541411","29376231","30214017","31061430","31952162","32883941","33831397","34773228","35741916","36733474","37737445","38742053","39706110","40610083","41457597","42284721","43061100","43631577","44107417","44486920","44926572","45658386","46511040","47456042","48476994","49517495","50531289","51586429","52668752","53660927","54575781","55521802","56462297","57292567","58052390",
