"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","612","659","717","781","846","902","946","980","1000","1010","1050","1130","1221","1323","1430","1542","1659","1778","1895","2007","2115","2219","2314","2403","2473","2519","2554","2569","2558","2527","2473","2433","2418","2403","2388","2372","2351","2326","2304","2288","2279","2275","2279","2285","2294","2306","2324","2347","2383","2431","2495","2576","2664","2751","2852","2982","3143","3309","3455","3604","3771","3944","4139","4365",
"Australia","AUS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","380333","385327","392936","398523","403720","409220","416533","419956","425260","432057","440074","456462","467760","479286","496850","510328","524965","540617","557559","575467","593677","611849","629193","644039","660068","681013","706410","732397","757502","782336","807209","833386","859031","882379","905037","927646","950932","972719","993323","1013674","1035478","1061485","1086319","1111667","1137428","1165803","1196334","1232925","1272929","1319410","1368133","1421637","1483377","1544350","1601286","1657677","1715514","1774287","1831633","1891255","1952525","1997363","2064482","2155644",
"Austria","AUT","Population ages 65 and above, male","SP.POP.65UP.MA.IN","332985","337597","343117","348421","355576","363021","370933","379533","386350","391827","396863","401640","406017","410161","414014","416962","419064","421873","423836","423782","419730","409416","395875","382279","373893","372656","375508","380263","385168","389782","394916","400415","406640","414494","423279","432175","440520","447910","454357","459987","465518","472302","478880","486144","503668","530158","555053","573977","589098","603619","612817","620786","635436","652322","667845","681402","693188","705072","717018","729359","742977","759466","783847","811188",
"Azerbaijan","AZE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","70130","70260","69914","69656","69766","69809","69957","70129","70381","70773","71323","72164","73246","74535","75926","77228","82472","92152","102690","107723","106398","104395","101940","99619","97656","95842","94428","93745","94220","96582","100597","105842","112589","120940","130414","139693","148070","156230","164777","173062","181379","190406","199575","207873","214612","219327","221012","219087","216322","212308","206865","203245","202032","203273","206881","212540","219773","228569","239298","252475","264535","275383","291704","313414",
"Burundi","BDI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","36837","37845","38957","39986","41365","42602","43671","44883","46037","47110","48196","49433","49226","48946","50266","51602","52802","54152","55600","56762","58913","60882","61803","62904","63834","64564","64993","65492","65549","65149","64735","64248","64245","60084","59493","62565","60460","59011","59598","60697","61575","62909","64635","66768","69464","72116","74628","77264","80467","84888","88871","91511","94322","97449","100201","102851","106630","111551","117651","124255","129504","133690","137833","142383",
"Belgium","BEL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","468056","472389","478509","484448","491987","500772","509313","518127","524077","528337","532153","535819","540597","545020","549298","553137","555021","557954","562180","565783","565707","557847","545248","531388","523917","528734","539094","550145","563502","576805","589465","602310","614454","625914","637354","649921","663023","675755","686685","695978","703946","711957","721024","730398","739935","747757","752055","756489","765508","778111","792239","814323","834893","852909","871151","890240","907477","924155","942688","963313","980951","998311","1026457","1062329",
"Benin","BEN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","65835","65375","64999","64724","64621","64709","64952","65338","65839","66426","67060","67720","68426","69155","69877","70591","71331","72087","72822","73505","74135","74741","75327","75891","76424","76996","77652","78368","79179","80075","81023","82018","83060","85279","86979","87436","88625","90289","92147","94107","96180","98373","100709","103207","105960","109088","112319","115711","119500","123466","127580","131707","135617","139038","141410","144890","150255","155788","161568","167618","173175","177860","182480","188081",
"Burkina Faso","BFA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","69584","71276","72963","74703","76491","78349","80303","82360","84495","86673","88891","91122","93374","95641","98021","100588","103361","106277","109244","112258","115277","118266","121213","124135","127044","129843","132375","134576","136458","138058","139414","140500","141322","141902","142262","142561","142795","142992","143564","144591","145892","147559","149683","152280","155243","158462","161921","165580","169616","174324","179548","185041","190456","193864","195761","198465","202072","206392","211483","217294","222694","227141","231613","237404",
"Bangladesh","BGD","Population ages 65 and above, male","SP.POP.65UP.MA.IN","790678","810831","835030","863909","897260","933818","973852","1017481","1063447","1110213","1154168","1150537","1150227","1199102","1247962","1299400","1355537","1413188","1469988","1524992","1578794","1631964","1684037","1734685","1783914","1831139","1876795","1920706","1960208","1996163","2035339","2073934","2111778","2152250","2193498","2239306","2288954","2345138","2419837","2519745","2623903","2719341","2812624","2901919","2988114","3070087","3145297","3211378","3271411","3335258","3412318","3497340","3579150","3641888","3696025","3777398","3889270","4025078","4187742","4365614","4530261","4704240","4901109","5099765",
"Bulgaria","BGR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","249294","259562","269374","279721","292371","305543","318823","331449","344000","356853","369840","382475","394136","407017","421276","434775","447403","458221","466805","475657","481992","484871","485726","485121","487460","493339","502938","514294","524996","530468","532738","537922","541958","546874","553515","558885","562946","566122","569398","574598","579503","573837","565790","563520","560263","556475","552714","549514","547295","547222","549319","554719","562373","571264","580716","588555","594755","599917","606448","614170","619284","617221","577686","571708",
"Bahrain","BHR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1870","1890","1909","1923","1928","1996","2146","2321","2516","2736","2986","3198","3334","3451","3561","3663","3755","3841","3919","3990","4061","4182","4369","4572","4778","4994","5211","5418","5618","5794","5937","6171","6523","6914","7334","7752","8147","8518","8853","9142","9392","9619","9824","10060","10418","10869","11320","11728","12100","12476","12866","13239","13713","15449","18506","20542","21292","21865","22488","23680","25360","27472","29807","32184",
"Bahamas, The","BHS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1605","1621","1646","1675","1732","1816","1907","2016","2144","2284","2412","2520","2631","2757","2899","3054","3231","3423","3611","3788","3957","4129","4305","4481","4654","4802","4914","4986","5016","5051","5143","5241","5324","5430","5581","5754","5900","6058","6247","6480","6766","7048","7307","7575","7871","8193","8513","8857","9209","9511","9793","10128","10523","10914","11317","11759","12193","12616","13104","13687","14267","14777","15371","16102",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, male","SP.POP.65UP.MA.IN","48455","50894","53830","57193","60812","64577","68448","72300","76126","80059","84127","88420","92933","97495","101857","105754","109093","111792","113705","114724","114914","114327","113043","111392","110000","109263","109271","110389","112768","116424","121481","127754","129634","128935","132655","140623","151226","161571","170933","180434","189725","198533","207025","214780","221430","226089","229036","229259","226740","223526","220205","217526","216275","217635","221072","225212","230056","235663","242173","249013","254245","256698","257160","258415",
"Belarus","BLR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","200720","203605","206389","209626","214284","220161","227123","235149","243863","252944","262023","271257","280270","288976","297167","303973","309751","314824","318710","319898","318277","314599","309375","304321","300347","298527","300690","306914","314805","324821","336447","350053","367637","387596","406742","423695","437974","448821","455938","460230","464959","471981","478589","483673","486935","486635","482760","475739","465081","452446","440989","434042","434656","442204","453430","465286","476566","487992","500791","514499","523997","528646","536879","551335",
"Belize","BLZ","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1794","1851","1906","1969","2034","2102","2172","2246","2321","2394","2464","2534","2598","2657","2708","2765","2831","2893","2947","2993","3040","3093","3149","3204","3261","3328","3403","3474","3546","3625","3723","3821","3864","3860","3872","3934","4062","4229","4403","4569","4718","4857","5000","5157","5326","5505","5698","5902","6120","6369","6595","6792","7020","7288","7569","7849","8143","8446","8757","9080","9446","9802","10117","10503",
"Bermuda","BMU","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1002","1029","1055","1079","1109","1149","1186","1230","1286","1354","1425","1457","1487","1513","1542","1569","1609","1644","1681","1726","1797","1849","1888","1921","1963","2011","2048","2071","2090","2115","2151","2164","2175","2213","2259","2306","2368","2447","2535","2616","2710","2823","2925","3028","3139","3238","3310","3386","3478","3579","3669","3798","3982","4145","4293","4450","4554","4665","4836","4990","5142","5282","5448","5655",
"Bolivia","BOL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","82122","81610","81057","80510","80059","79750","79585","79571","79704","80009","80506","81186","82031","83056","84288","85658","87178","88906","90756","92599","94376","96107","97779","99425","101201","103199","105369","107682","110222","113087","116272","119785","123651","132058","144319","155516","165674","174929","183340","190883","197730","201137","201557","202340","203569","205289","207431","209991","212997","216512","220495","224864","229358","233521","237216","240955","245121","249627","254516","259862","261350","258012","255443","259430",
"Brazil","BRA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","923959","968520","1017994","1070611","1125069","1181595","1240422","1300635","1361936","1424709","1489043","1554838","1622356","1692230","1764962","1840536","1918168","1996877","2076657","2157968","2240027","2321867","2403772","2486822","2571968","2659818","2751553","2848782","2952259","3061151","3168843","3274253","3382768","3494497","3608061","3720943","3834298","3950204","4067701","4185842","4301096","4420104","4548810","4686200","4833770","4992712","5161195","5335431","5515170","5699164","5884602","6069225","6261767","6476961","6726799","6997456","7269894","7555128","7858805","8175883","8493316","8795565","9099428","9453312",
"Barbados","BRB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","3487","3710","4025","4382","4745","5098","5445","5782","6114","6444","6767","7099","7431","7754","8079","8411","8745","9081","9424","9785","10188","10619","11030","11391","11664","11839","11925","11932","11895","11837","11785","11741","11688","11653","11659","11700","11747","11811","11891","11975","12051","12126","12257","12363","12434","12539","12619","12721","12915","13189","13471","13752","14105","14508","14943","15406","15865","16370","16942","17589","18317","19056","19788","20487",
"Brunei Darussalam","BRN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1185","1243","1313","1382","1446","1509","1575","1639","1700","1762","1825","1897","1990","2099","2205","2307","2402","2492","2575","2647","2708","2765","2828","2908","3010","3119","3223","3308","3371","3428","3475","3516","3577","3666","3785","3929","4084","4235","4389","4545","4711","4891","5082","5285","5498","5724","5948","6153","6320","6444","6534","6686","6938","7247","7624","8071","8588","9168","9810","10518","11290","12111","12985","13926",
"Bhutan","BTN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2561","2620","2692","2776","2861","2949","3046","3147","3255","3372","3498","3633","3778","3934","4100","4275","4463","4661","4870","5093","5327","5572","5831","6102","6389","6698","7024","7367","7731","8115","8504","8841","8711","8533","8764","9109","9539","9984","10469","11160","12035","12917","13794","14657","15479","16141","16604","17011","17450","17926","18438","18975","19528","20099","20697","21342","22033","22444","22606","22863","23218","23656","24164","24720",
"Botswana","BWA","Population ages 65 and above, male","SP.POP.65UP.MA.IN","7910","7900","7849","7794","7780","7816","7900","8038","8197","8326","8411","8463","8497","8548","8636","8765","8934","9147","9416","9758","10177","10652","11170","11742","12394","13124","13928","14806","15711","16574","17369","18087","18716","19265","19797","20355","20919","21488","22054","22580","23058","23510","23943","24354","24737","25097","25433","25763","26125","26544","27029","27541","28038","28529","29224","30182","31274","32506","33858","35299","36711","37567","38675","40550",
"Central African Republic","CAF","Population ages 65 and above, male","SP.POP.65UP.MA.IN","33513","33874","34336","34865","35398","35910","36413","36912","37419","37962","38522","39077","39643","40232","40849","41489","42040","42407","42611","42647","42512","42210","41751","41164","40492","39763","38987","38168","37411","36927","36734","36734","36936","37312","37782","38151","38537","39083","39698","40382","41113","41615","42194","42981","43694","44505","45235","45996","47001","48167","49379","50365","51052","51636","52187","53553","55831","58148","60441","62803","64811","65779","66528","67829",
"Canada","CAN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","666900","676726","684765","692390","700953","710509","720571","730863","742214","754025","766288","791161","805273","822034","840799","862329","886014","910696","935577","961645","989919","1015241","1038147","1059111","1083503","1113333","1147018","1185297","1221605","1262377","1301974","1339071","1374054","1406819","1439619","1473062","1508434","1544880","1578397","1608347","1639740","1674615","1708716","1741624","1778203","1819099","1867736","1921526","1982187","2047707","2119078","2201627","2301089","2404456","2505015","2598655","2701293","2805348","2917162","3035832","3154886","3266758","3425289","3629606",
"Central Europe and the Baltics","CEB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","2613197","2699221","2788792","2888882","3005246","3132679","3272512","3422426","3566990","3697385","3813579","3926398","4056991","4191864","4323494","4452806","4565498","4669853","4759210","4821241","4816933","4738762","4629293","4502303","4435238","4446093","4485340","4548916","4636004","4713513","4778405","4836367","4897640","4991780","5098152","5209172","5315167","5412485","5501702","5582089","5631715","5667533","5716755","5777790","5835763","5891466","5941910","5974026","6001405","6046534","6080483","6165379","6310057","6478079","6664328","6856057","7048701","7238734","7432342","7637519","7817318","7894700","7738710","7760476",
"Switzerland","CHE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","226850","231805","236859","240950","246019","251892","257905","265004","271726","277912","284485","291469","298851","306598","314283","321619","328040","334416","340890","346821","351084","353515","355704","357411","359467","363734","369736","375499","380634","385250","389705","393861","397939","402457","407444","413062","418855","424844","431224","438459","446409","454559","462340","470028","479060","488794","500075","514387","530639","547800","563546","580306","598745","616959","634698","651323","666845","681611","695907","710466","724193","741742","765108","789771",
"Channel Islands","CHI","Population ages 65 and above, male","SP.POP.65UP.MA.IN","5694","5716","5760","5825","5911","6008","6102","6201","6321","6445","6559","6667","6773","6882","6981","7076","7196","7343","7482","7577","7616","7620","7624","7622","7641","7700","7764","7833","7911","7991","8085","8173","8228","8241","8245","8277","8329","8398","8493","8619","8761","8924","9115","9317","9540","9754","9908","10034","10202","10413","10617","10906","11295","11637","11927","12213","12556","12794","12787","12673","12605","12667","12872","13180",
"Chile","CHL","Population ages 65 and above, male","SP.POP.65UP.MA.IN","124381","129305","134258","138673","142740","147163","151271","155220","159373","163160","167154","171789","176155","181015","186796","193017","198897","205088","212334","219291","225922","233207","240930","248165","255396","264034","274455","286441","299759","314862","331584","350014","370729","392152","413039","432852","451488","469690","487689","505294","523555","542411","561159","579702","597833","616117","635474","655081","675600","698372","720745","744167","770125","798576","829705","863267","900332","940931","983945","1028085","1068570","1106704","1146772","1189733",
"China","CHN","Population ages 65 and above, male","SP.POP.65UP.MA.IN","11153803","10747211","10636048","10670844","10676294","10762385","10996190","11301927","11662714","12053090","12464745","12920463","13382624","13875324","14422167","14976360","15509428","16058483","16713757","17459226","18178394","18853784","19539489","20216283","20905782","21679732","22510259","23341793","24219551","25208889","26240353","27250937","28347337","29595620","30905717","32284765","33697150","35138540","36740413","38398383","39988499","41541120","43064306","44528983","45843555","47111164","48447013","49697821","50823739","51961372","53205039","54698215","56513371","58560178","60815414","63491780","66479603","69824779","73385487","76975721","80702563","84121560","87652339","90961455",
"Cote d'Ivoire","CIV","Population ages 65 and above, male","SP.POP.65UP.MA.IN","42604","44789","47102","49490","51930","54440","57032","59701","62476","65433","68661","72203","76030","80056","84226","88540","92497","95798","98734","101532","104412","107495","110821","114418","118495","123078","127998","133414","139501","146848","155092","163225","171221","179107","186882","194531","202045","209398","215554","219466","222225","225011","229421","235336","241136","246874","252627","258524","264638","270990","277562","281694","283600","285782","289153","294284","300425","307413","315111","323358","330319","334908","339452","346998",
"Cameroon","CMR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","87744","88745","90563","93199","95870","98577","101335","104146","107015","109957","112970","116057","119223","122461","125751","129070","132263","135338","138590","141951","145865","150119","153005","155639","159367","163389","167428","171483","175507","179508","183595","187665","191679","195708","199692","203559","207352","211114","214869","218583","222256","226029","230076","234287","238441","242533","246764","251415","256505","261928","267673","273641","279633","285041","289866","295452","301896","308317","315129","322832","329198","333263","337508","344136",
"Congo, Dem. Rep.","COD","Population ages 65 and above, male","SP.POP.65UP.MA.IN","183139","186689","190246","194065","197969","202086","206987","212532","218420","224625","231052","237821","244986","252452","260273","268442","276923","285286","295469","307284","317617","327248","337223","347360","358639","370542","382664","395930","409837","424345","440252","457365","473844","491733","518939","542907","553381","563597","580056","599980","621274","644710","669309","694237","720518","748896","778893","810009","842064","875196","909523","945300","981191","1016453","1050125","1082629","1116525","1151511","1187480","1224808","1257155","1279508","1299023","1325552",
