"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 15-64, female","SP.POP.1564.FE.IN","15315","15699","15974","16246","16510","16773","17035","17256","17423","17552","17652","17730","17933","18332","18810","19293","19723","20083","20396","20670","20888","21019","21164","21374","21576","21753","21890","21972","22024","22138","22413","22908","23688","24716","25845","27022","28223","29382","30489","31549","32491","33196","33699","34136","34552","34947","35325","35688","36041","36389","36741","37128","37498","37780","37983","38121","38210","38263","38292","38300","38200","38054","37903","37696",
"Africa Eastern and Southern","AFE","Population ages 15-64, female","SP.POP.1564.FE.IN","34944177","35840582","36774596","37729285","38725896","39760493","40809598","41891392","43020661","44186076","45382685","46592668","47799388","49078141","50469915","51912568","53386411","54871718","56515634","58288050","59974328","61799959","63862256","66014559","68286619","70712007","73074493","75288656","77445325","79614552","81882094","84116256","86337949","88705633","91298989","94024577","96702038","99305176","102016374","104947531","107969495","111088939","114313272","117613244","121009604","124483710","128066536","131785975","135614756","139539500","143601437","147770902","152057409","156535442","161167259","166007970","170906170","175860953","181060404","186486911","192139476","197918512","203799363","209861233",
"Afghanistan","AFG","Population ages 15-64, female","SP.POP.1564.FE.IN","2248630","2297244","2349582","2403744","2457498","2508498","2557792","2609056","2662856","2718610","2777229","2836888","2898405","2964227","3031186","3096102","3155897","3213962","3270596","3278677","3150649","2813677","2546387","2516199","2598796","2679666","2671512","2642480","2658113","2728782","2728925","2734246","3058461","3537687","3884337","4102837","4247630","4388466","4533980","4695224","4739128","4755201","5057897","5445306","5661555","5898049","6189678","6235720","6328667","6626810","6860488","7210142","7625427","7972111","8363003","8695137","8963378","9291731","9638249","10000360","10412972","10794564","11136302","11498794",
"Africa Western and Central","AFW","Population ages 15-64, female","SP.POP.1564.FE.IN","27021302","27550490","28083298","28609603","29114687","29652638","30244923","30860104","31502007","32163049","32847929","33542946","34256954","35015639","35820221","36671940","37555678","38491283","39481560","40505150","41544712","42604621","43717272","44776594","45780699","46850601","47994645","49219111","50555501","51984266","53403714","54885290","56504157","58162393","59856110","61654143","63501506","65390734","67358434","69336071","71340109","73385620","75469483","77615000","79832536","82104925","84402020","86745478","89156835","91644713","94203024","96830434","99489109","102211424","105100589","108107680","111234299","114511210","117889258","121356855","124977507","128713806","132546405","136540239",
"Angola","AGO","Population ages 15-64, female","SP.POP.1564.FE.IN","1482579","1488439","1495377","1500400","1501694","1500676","1497625","1491966","1487255","1489587","1503980","1534639","1583470","1643240","1706904","1772977","1840876","1912925","1989850","2069985","2154503","2242600","2333662","2428359","2524937","2621569","2716791","2810540","2905923","3004283","3105343","3207196","3309929","3416326","3528515","3645844","3767565","3895639","4029215","4167967","4312767","4464476","4623256","4788934","4963193","5144945","5333741","5530950","5735124","5946867","6169643","6403671","6647054","6898273","7156753","7421136","7696742","7984555","8278079","8579775","8881648","9188307","9504961","9829461",
"Albania","ALB","Population ages 15-64, female","SP.POP.1564.FE.IN","415778","425482","435198","445130","455726","467348","480048","493789","509650","526918","543546","560617","579152","598112","617941","638922","660368","682845","705244","727724","750913","773812","797618","821494","845167","868337","890474","913281","935114","964863","986626","984962","983222","981425","979612","977844","976681","976671","977577","978838","980078","978007","981682","984126","985961","987053","987225","986377","985233","984740","985448","987301","988774","988507","986978","983862","980959","978652","974760","967976","959728","947987","932631","917561",
"Andorra","AND","Population ages 15-64, female","SP.POP.1564.FE.IN","3078","3319","3567","3817","4065","4320","4595","4902","5248","5629","6047","6498","6976","7483","8010","8548","9097","9654","10206","10748","11294","11857","12488","13179","13874","14573","15271","15975","16678","17375","18062","18780","19529","20264","20983","21683","22122","22298","22449","22590","22730","23334","24414","25500","26590","27672","27886","27262","26670","26072","25488","25225","25255","25291","25343","25375","25617","26080","26525","26950","27326","27679","27862","27883",
"Arab World","ARB","Population ages 15-64, female","SP.POP.1564.FE.IN","24741948","25257282","25804291","26382549","26989083","27621477","28299701","29039545","29830340","30659876","31511836","32386996","33291068","34240434","35261375","36366270","37626335","38929343","40151645","41508055","42984213","44405140","45861147","47395874","48947788","50494193","52081501","53687731","55236024","56823011","58776473","60305465","62105498","64139460","66293054","68413263","70591767","72847201","75166151","77545293","80000087","82490452","85002639","87537058","90133824","92915358","95920068","99085816","102195790","105191747","108014362","110417051","112686755","115068755","117404621","119617616","121908087","124430290","127186616","130066207","132673904","135207470","138134164","141329251",
"United Arab Emirates","ARE","Population ages 15-64, female","SP.POP.1564.FE.IN","28518","29851","31223","32613","34017","35429","36825","38189","40978","45785","51392","57470","64028","71076","78489","86002","97015","112049","128021","144796","162174","179241","196245","214100","232591","251448","268869","285895","305110","326282","349108","373225","398249","423931","450203","477242","508515","545726","586834","630838","676587","722861","768755","813967","858637","921745","1045604","1237411","1456583","1653736","1761114","1801146","1838675","1873420","1905492","1935295","1963389","1990239","2016202","2041725","2066674","2091813","2120000","2151793",
"Argentina","ARG","Population ages 15-64, female","SP.POP.1564.FE.IN","6465467","6580963","6697708","6815198","6931273","7046869","7164014","7282189","7401018","7519783","7638606","7757944","7878810","7999289","8117662","8227999","8328582","8427374","8526103","8625313","8726324","8832325","8944778","9062298","9184053","9309693","9441216","9579036","9722579","9870647","10018784","10165241","10312629","10462171","10613978","10767594","10921874","11075898","11229382","11382355","11534450","11686710","11839762","11991973","12144089","12299087","12456210","12612720","12769700","12927859","12983496","13149098","13306213","13458522","13610675","13761314","13911380","14063415","14219710","14381104","14550411","14728701","14905735","15075110",
