"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"American Samoa","ASM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","283","283","280","282","288","293","299","308","320","330","340","350","355","360","368","377","390","408","428","446","463","489","517","543","571","600","626","655","689","729","773","814","849","882","912","933","951","965","977","987","1007","1040","1069","1101","1129","1146","1155","1164","1163","1155","1169","1198","1231","1270","1313","1362","1419","1481","1544","1608","1672","1742","1827","1924",
"Antigua and Barbuda","ATG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1447","1495","1562","1642","1718","1786","1845","1899","1954","2014","2090","2181","2275","2371","2467","2560","2650","2738","2823","2912","3001","3087","3170","3251","3311","3341","3355","3354","3341","3318","3290","3274","3267","3250","3232","3215","3199","3179","3162","3157","3169","3192","3216","3229","3246","3275","3318","3367","3424","3493","3589","3708","3832","3962","4105","4271","4465","4669","4870","5082","5315","5558","5818","6118",
"Australia","AUS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","501040","514209","530497","543892","556465","568211","580786","586735","594507","603655","612702","632499","647862","664960","689579","708542","728786","749934","772468","795726","819432","844101","869158","891148","913075","938559","968162","998479","1028190","1056755","1084254","1113193","1140965","1165762","1189541","1213008","1237133","1258635","1278394","1297961","1318108","1341865","1364292","1388021","1411659","1437489","1464616","1497522","1533318","1576276","1620740","1669594","1727824","1786304","1841370","1896829","1955656","2017521","2079816","2145075","2211270","2258493","2332493","2435389",
"Austria","AUT","Population ages 65 and above, female","SP.POP.65UP.FE.IN","527540","541331","554903","567420","581037","594223","607173","620664","632513","643002","652622","662801","674244","686021","697729","708392","717077","726111","734560","741058","741582","732330","717812","702242","694616","698634","708375","719948","731745","742848","752369","759029","762723","765125","767288","769371","770822","771559","771772","770854","769308","769006","768408","768369","780057","801877","822240","836633","847084","857219","862123","865746","876000","889312","902108","912710","921790","931002","940624","951620","964552","981644","1007075","1034463",
"Azerbaijan","AZE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","114376","116467","118222","120658","124198","127924","131862","135759","139723","143553","147129","150871","154623","158135","161490","164534","171303","182554","195180","203185","204848","204957","204372","204786","205656","205646","205096","205356","207477","211811","216418","220671","227331","236731","244160","247436","248345","248075","247834","252342","262814","275467","289177","302302","311894","316668","317102","312741","307022","302162","297918","295896","297092","301365","308121","317013","328331","341460","356125","373145","388642","405528","429137","456689",
"Burundi","BDI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","50444","51837","53349","54835","56619","58265","59773","61426","63041","64615","66200","67885","68255","68500","70150","71811","73347","75030","76805","78391","80789","83124","84707","86406","87956","89320","90411","91501","92112","92248","92310","92157","92149","88695","87949","90390","89100","88279","89110","90480","91758","93487","95639","98171","101203","104296","107360","110571","114332","119121","123559","126953","130450","134206","137555","141209","146181","151965","158671","165811","171935","177102","182084","187361",
"Belgium","BEL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","629184","640325","653059","665830","680770","697274","712775","728308","740980","751818","761651","771567","783621","795664","806985","817238","825310","834296","844209","853239","857644","852088","840353","826327","819139","826117","839288","852799","869138","885156","899914","914965","928854","941584","954037","967611","981456","994336","1004366","1012116","1018447","1024695","1031508","1037944","1045296","1051360","1053145","1054610","1060554","1070295","1082148","1102896","1119756","1133932","1148242","1163036","1176253","1189124","1203719","1220946","1235340","1251389","1279048","1313140",
"Benin","BEN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","84055","83751","83665","83753","83895","84044","84224","84402","84614","84872","85161","85533","86013","86569","87163","87827","88611","89517","90581","91781","93059","94408","95845","97400","99035","100700","102419","104219","106064","107940","109880","111877","113910","116777","119227","120708","122648","124992","127654","130506","133480","136526","139572","142729","146129","150008","154121","158319","162933","167826","172865","177881","182581","186763","189858","193127","197422","201985","206903","212200","217353","221974","226729","232528",
"Burkina Faso","BFA","Population ages 65 and above, female","SP.POP.65UP.FE.IN","56860","59388","61968","64614","67380","70319","73410","76666","80075","83592","87218","90933","94703","98538","102543","106749","111147","115720","120434","125272","130135","134936","139707","144479","149246","153937","158370","162472","166275","169809","173232","176565","179727","182685","185523","188354","191142","193817","196599","199711","203178","206984","211032","215368","219982","224928","230234","235890","242169","249138","256593","264411","272132","278286","283334","289122","295828","303223","311362","320173","328590","335809","342809","351240",
"Bangladesh","BGD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","725669","744060","765337","788438","813296","839484","867484","898195","930012","961413","986391","980324","980200","1012443","1045742","1082850","1124042","1168358","1214464","1258874","1302968","1347100","1390806","1434000","1477772","1523715","1568122","1609711","1648781","1680056","1707050","1736574","1773399","1813493","1852642","1895372","1934597","1980985","2051209","2140337","2234960","2328319","2426261","2528988","2631540","2730984","2826735","2915196","3000370","3087647","3186372","3296424","3415928","3542651","3667745","3810025","3981867","4179362","4399943","4644874","4900498","5164338","5446111","5737481",
"Bulgaria","BGR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","328397","340098","350787","361326","374402","388315","402108","415109","427985","441235","455051","469175","482372","496740","512720","527900","542800","556472","567794","580120","591296","599600","605867","611027","619733","631830","647246","664492","681045","689954","694532","703333","711599","721999","734467","745146","754176","761698","770015","781253","792349","789966","784554","788017","791258","794130","796667","799561","802924","807438","814237","825932","839743","854123","869828","883482","893205","900709","908813","917008","924583","924845","869065","862529",
"Bahrain","BHR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1887","1892","1896","1895","1885","1941","2079","2232","2400","2583","2781","2934","3023","3099","3172","3245","3323","3400","3476","3554","3640","3747","3872","4004","4143","4287","4436","4597","4770","4945","5121","5337","5618","5938","6271","6602","6920","7240","7558","7849","8134","8440","8766","9160","9677","10271","10867","11431","11977","12538","13052","13369","13660","14537","16057","17231","17834","18403","19170","20372","21877","23577","25484","27650",
