NAME,CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,55.68803937,56.13026599,56.16303264,55.59218615,55.07344873,54.87520025,54.82143827,55.01061893,55.19771055,55.26022677,55.39428829,55.49752729,55.71614899,55.91864197,55.84591606,55.70829503,55.62885711,56.04281315,57.21828958,58.46001484,59.48499003,60.41361314,61.13204097,61.96692678,62.96914133,63.86557231,64.60233336,65.11024172,65.51262443,65.78672371,65.81963171,65.84886836,65.96161188,66.0524499,66.22079677,66.48034718,66.82733861,67.30362716,67.73510597,68.1052273,68.54547244,69.09541946,69.79273708,70.50086743,71.19266749,71.92589336,72.45969398,72.72013858,72.87353752,72.93735327,72.9288796,72.84686481,72.6444674,72.35233192,72.00595844,71.62337797,71.19571189,70.6489643,70.12939609,69.71637325,69.37661758,69.18217451,69.03102566,68.9454422
India,IND,56.18789482,55.87424374,55.55632152,55.24473143,55.05251573,55.00650955,55.01616514,55.06660582,55.13951665,55.22579789,55.33251343,55.43683407,55.53603322,55.63435366,55.72249378,55.81809397,55.92191357,56.04762738,56.2036809,56.35911777,56.49877133,56.6205731,56.74098273,56.87195398,56.99998854,57.12597733,57.25473292,57.39678332,57.56499444,57.75304882,57.95276711,58.15387122,58.34959928,58.54578609,58.75896766,58.99644863,59.25964929,59.54102638,59.83352724,60.1427157,60.45650703,60.77060415,61.08594116,61.40604575,61.74275543,62.08969017,62.45278387,62.83182414,63.20888318,63.58042693,63.95532003,64.33077681,64.70084126,65.06386819,65.40460691,65.72543435,66.04595183,66.36368186,66.65825526,66.93394311,67.2153464,67.50994439,67.79724618,68.02755905
Japan,JPN,64.70644014,65.01131464,65.70786178,66.72703786,67.70024914,68.40098714,68.91232304,69.2290386,69.29226522,69.30506694,69.27001387,69.15799004,68.901703,68.5755464,68.27582551,68.01607837,67.81391511,67.6586589,67.5633196,67.53913821,67.60463978,67.574478,67.61183269,67.85787334,68.09921952,68.32607957,68.58191301,68.88651434,69.21436369,69.52134246,69.7264801,69.80793187,69.80016898,69.74675579,69.62686207,69.44599979,69.19145141,68.86754545,68.53052794,68.19582635,67.82262845,67.37906764,66.93186163,66.54540472,66.18781677,65.75074434,65.19293258,64.59535203,64.02858804,63.53594356,63.19907194,62.91443017,62.34702382,61.51632943,60.67908038,59.99831765,59.50899436,59.13496383,58.85773418,58.64813679,58.5011143,58.43894367,58.45271116,58.46348166
Russian Federation,RUS,63.4613302,62.96842741,62.94795343,63.0720115,63.40239341,63.83014324,64.25718266,64.72209591,65.14226298,65.59893223,66.14695517,66.61410329,66.97376435,67.35480666,67.69643336,67.97950176,68.21403714,68.34080861,68.374037,68.29258452,68.16612989,68.12718114,68.1100716,67.94279817,67.73400294,67.66807846,67.63156319,67.55099476,67.39900014,67.21407521,67.06198724,66.89540933,66.72029339,66.58175096,66.52524967,66.59187843,66.80462814,67.17774592,67.79419465,68.59506074,69.3305922,69.9927334,70.56480437,70.86325357,70.93018471,70.99583509,71.08382212,71.2503111,71.54507305,71.83305785,72.0484599,71.94275809,71.47140638,70.91444739,70.25037448,69.53347296,68.88651992,68.30997914,67.85304495,67.43216596,67.01346193,66.68697228,66.4978203,66.26643828
United States,USA,59.95450017,59.77757683,59.87765689,59.97398151,59.94028665,59.86533928,60.16754046,60.62801857,61.00548153,61.47552108,61.91294352,62.3714601,62.89146514,63.4330101,63.94785651,64.441994,64.90512506,65.30610465,65.67270016,65.99944961,66.24882969,66.39121739,66.46896103,66.56688961,66.62663202,66.65683796,66.7058421,66.68186291,66.49019253,66.28222246,66.15887655,65.98923767,65.81114734,65.71405904,65.6551485,65.65386746,65.72928858,65.83759184,65.94885673,66.07832097,66.25696603,66.41770684,66.57260594,66.72966689,66.87972688,67.02891501,67.15843701,67.22698497,67.19343168,67.13694708,67.10493568,66.98599109,66.77333015,66.57196242,66.4410414,66.37508637,66.15348339,65.87778583,65.69128074,65.47229921,65.26525032,65.07806981,64.91244134,64.73724829
