NAME,CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,CHN,40.34465901,39.98646085,40.01118877,40.65149459,41.24122661,41.48249361,41.54830546,41.34702536,41.13763271,41.0522835,40.89319037,40.75905677,40.50605295,40.25941435,40.26941638,40.33749982,40.35214831,39.86889545,38.60251201,37.25300398,36.12546837,35.10582895,34.30535907,33.39270051,32.3075249,31.31850237,30.48948866,29.89930005,29.40935067,29.02772419,28.88444628,28.75408427,28.5243389,28.28632935,27.96241444,27.53912055,27.02587533,26.38121356,25.75222367,25.17398281,24.53389834,23.78350535,22.88983754,21.99674482,21.14098532,20.24868918,19.54350443,19.1208972,18.82293062,18.6123647,18.45457124,18.33698716,18.30622916,18.3272908,18.36085612,18.35656836,18.34748936,18.40468004,18.39055059,18.26151093,18.02512046,17.66807221,17.24663889,16.78794627
India,IND,40.52064116,40.79669161,41.05830858,41.30503127,41.43930005,41.44295063,41.40643582,41.34326013,41.26357376,41.16631165,41.04277324,40.91334374,40.77776127,40.63477529,40.49872813,40.35471307,40.20445526,40.03920645,39.85198641,39.67261307,39.51655295,39.38410341,39.25560052,39.11813907,38.98478692,38.85305064,38.71745512,38.56683294,38.38752833,38.18513677,37.96669614,37.74204027,37.51836961,37.2900373,37.04065475,36.76299791,36.45549621,36.12640711,35.78297982,35.41962418,35.04980991,34.67751273,34.30006768,33.91624142,33.51957116,33.11726687,32.70088618,32.26983257,31.84043903,31.4138868,30.97869254,30.53382702,30.08172049,29.62029221,29.1379758,28.63427071,28.1185314,27.59552225,27.0876753,26.59403194,26.11233353,25.68759098,25.30631086,24.9003315
Japan,JPN,29.49428993,29.07622356,28.26756303,27.12152945,26.01111245,25.17917073,24.49917215,23.99460113,23.76932589,23.61784038,23.53228785,23.52235155,23.61697395,23.75480354,23.86388446,23.91826094,23.90157559,23.81520551,23.65680068,23.41929499,23.09663991,22.87717634,22.58570709,22.10409772,21.63578511,21.13254853,20.56290961,19.92963337,19.24452066,18.53678549,17.87385931,17.29389172,16.78755276,16.33011713,15.93278936,15.59084013,15.29976487,15.05117143,14.81241784,14.58041904,14.37248311,14.20153564,14.04354844,13.88582026,13.75111445,13.64484351,13.54977629,13.46391587,13.38965563,13.29816645,13.20039273,13.1077901,13.00552399,12.90218227,12.79393491,12.67348193,12.5450855,12.40104251,12.24061146,12.07204954,11.91570724,11.77396642,11.62272759,11.46888791
Russian Federation,RUS,30.46097596,30.82946744,30.77031949,30.56665128,30.11503587,29.51276255,28.89317123,28.23307787,27.58572341,26.90221851,26.14804708,25.44915748,24.83022455,24.21013761,23.60530048,23.04439976,22.53903324,22.12206426,21.80273739,21.63826859,21.64043854,21.73575476,21.9148354,22.18776727,22.47282586,22.69070823,22.85814172,22.99470054,23.10387452,23.10509405,22.98054818,22.79665587,22.52905612,22.20299875,21.87271451,21.51090954,21.0832597,20.54648185,19.85479871,19.08612528,18.32043038,17.51261298,16.66376623,15.99927277,15.56977368,15.20858517,14.93620713,14.82025496,14.87472837,15.02602375,15.16058851,15.36036465,15.69877439,16.07411,16.46010395,16.85102709,17.21137081,17.47411025,17.60660101,17.66083518,17.68046788,17.71960774,17.70425042,17.5729822
United States,USA,30.81505979,30.91190925,30.74650322,30.57462642,30.54113581,30.58075015,30.25367879,29.71876765,29.28003113,28.78560454,28.28380498,27.74928048,27.13274329,26.45518742,25.78395465,25.11227814,24.43992058,23.82913653,23.28871097,22.82556472,22.47257997,22.22733177,22.05098277,21.88359733,21.71074956,21.53169959,21.37528888,21.31867334,21.35901499,21.44283757,21.55664725,21.68385535,21.79200715,21.85859258,21.86087296,21.80249902,21.72034378,21.64840547,21.58967054,21.5255083,21.42540432,21.28534783,21.13993627,20.99239881,20.81555388,20.61092211,20.41949104,20.26521133,20.13570982,20.00679435,19.86688582,19.74380579,19.64223292,19.5369619,19.42339523,19.29715954,19.17420511,19.05592377,18.91102168,18.73589996,18.51134953,18.2430347,17.95943811,17.67483218
